,pdbid,predicted,real,set
0,2v7a,7.1315117,8.3,CASF2016
1,4dld,7.0151777,5.82,CASF2016
2,3l7b,4.217807,2.4,CASF2016
3,3zdg,6.0778594,7.1,CASF2016
4,2xys,6.1725335,7.42,CASF2016
5,3b65,8.723607,9.27,CASF2016
6,3dd0,7.847518,9.0,CASF2016
7,3d4z,5.1045194,4.89,CASF2016
8,1owh,6.575365,7.4,CASF2016
9,2x00,8.406931,11.33,CASF2016
10,4tmn,8.274871,10.17,CASF2016
11,3b5r,9.319806,8.77,CASF2016
12,1z6e,9.3778515,9.72,CASF2016
13,3acw,7.080819,4.76,CASF2016
14,3rsx,4.40599,4.41,CASF2016
15,1uto,3.1919339,2.27,CASF2016
16,3fur,7.619835,8.0,CASF2016
17,4u4s,5.0778675,2.92,CASF2016
18,2wbg,6.3660665,4.45,CASF2016
19,3n86,6.7436295,5.64,CASF2016
20,1bcu,4.99536,3.28,CASF2016
21,1w4o,5.093364,5.22,CASF2016
22,4ciw,5.162697,4.82,CASF2016
23,4wiv,6.0019855,6.26,CASF2016
24,3coz,5.3653092,5.57,CASF2016
25,3ueu,5.0375996,5.24,CASF2016
26,3n7a,4.6781473,3.7,CASF2016
27,3ryj,8.089372,7.8,CASF2016
28,2xb8,7.1877604,7.59,CASF2016
29,3dxg,4.0719504,2.4,CASF2016
30,2wvt,6.3074207,6.12,CASF2016
31,3gr2,3.486215,2.52,CASF2016
32,2c3i,7.137787,7.6,CASF2016
33,4ih5,4.9888916,4.11,CASF2016
34,3fcq,4.3787875,2.77,CASF2016
35,4j28,6.6719255,5.7,CASF2016
36,2wca,6.4595947,5.6,CASF2016
37,1o3f,7.252745,7.96,CASF2016
38,3ao4,2.8098834,2.07,CASF2016
39,3kgp,4.1092997,2.57,CASF2016
40,3gv9,4.181871,2.12,CASF2016
41,4ddk,3.666444,2.29,CASF2016
42,2xii,9.404724,7.2,CASF2016
43,4f09,5.8631887,6.7,CASF2016
44,1nc3,9.148799,5.0,CASF2016
45,2xj7,6.126815,6.66,CASF2016
46,1s38,5.8478346,5.15,CASF2016
47,3u9q,4.500905,4.38,CASF2016
48,4m0z,7.985909,5.19,CASF2016
49,3aru,4.567326,3.22,CASF2016
50,3u8n,7.483452,10.17,CASF2016
51,1syi,5.9234695,5.44,CASF2016
52,5tmn,7.2241983,8.04,CASF2016
53,4bkt,3.379417,3.62,CASF2016
54,3arv,5.7212424,5.64,CASF2016
55,4f9w,7.607826,6.94,CASF2016
56,1k1i,7.700132,6.58,CASF2016
57,1g2k,9.539334,7.96,CASF2016
58,3mss,4.8656483,4.66,CASF2016
59,1q8t,5.449007,4.76,CASF2016
60,2qbq,6.7125945,7.44,CASF2016
61,3coy,6.4134007,6.02,CASF2016
62,4mgd,6.308449,4.69,CASF2016
63,3gy4,5.137796,5.1,CASF2016
64,3up2,7.5604134,7.4,CASF2016
65,1z95,8.953274,7.12,CASF2016
66,2brb,6.8239355,4.86,CASF2016
67,4jxs,5.301167,4.74,CASF2016
68,3pxf,4.92945,4.43,CASF2016
69,2wn9,6.7919655,8.52,CASF2016
70,4k18,8.140933,8.96,CASF2016
71,3tsk,8.936703,7.17,CASF2016
72,3u8k,6.926682,8.66,CASF2016
73,3u5j,5.5353384,5.61,CASF2016
74,4rfm,8.267118,10.05,CASF2016
75,4eky,4.9983826,3.52,CASF2016
76,4f2w,10.260681,11.3,CASF2016
77,1gpk,7.2836423,5.37,CASF2016
78,4w9c,5.7511816,4.65,CASF2016
79,4w9l,5.94427,5.02,CASF2016
80,1ydt,6.8475504,7.32,CASF2016
81,3twp,3.7409265,3.92,CASF2016
82,1o5b,4.9330964,5.77,CASF2016
83,1h22,8.902083,9.1,CASF2016
84,3g31,1.6834491,2.89,CASF2016
85,2wtv,8.400246,8.74,CASF2016
86,2j7h,7.513097,7.19,CASF2016
87,3utu,9.1591835,10.92,CASF2016
88,4cig,4.516112,3.67,CASF2016
89,3bgz,6.604809,6.26,CASF2016
90,3e5a,6.8377542,8.23,CASF2016
91,3uex,5.863388,6.92,CASF2016
92,1z9g,6.3248234,5.64,CASF2016
93,3n76,7.1223407,6.85,CASF2016
94,4gr0,9.296104,9.55,CASF2016
95,4m0y,7.0877953,6.46,CASF2016
96,4ea2,8.089655,6.44,CASF2016
97,4gfm,7.380664,7.22,CASF2016
