,pdbid,predicted,real,set
0,2v7a,7.0705094,8.3,CASF2013
1,1kel,8.53588,7.28,CASF2013
2,3l7b,4.1710944,2.4,CASF2013
3,1lol,6.0792828,6.39,CASF2013
4,2xys,7.1658206,7.42,CASF2013
5,3dd0,8.612269,9.0,CASF2013
6,3d4z,6.113916,4.89,CASF2013
7,1n2v,5.557514,4.08,CASF2013
8,3b3w,6.3658714,4.19,CASF2013
9,2x00,9.252408,11.33,CASF2013
10,1u33,4.936801,4.6,CASF2013
11,4tmn,8.562558,10.17,CASF2013
12,1xd0,5.5202413,7.12,CASF2013
13,3acw,5.4144764,4.76,CASF2013
14,1uto,2.8467867,2.27,CASF2013
15,3vh9,4.511773,6.24,CASF2013
16,2wbg,7.177979,4.45,CASF2013
17,3n86,6.204236,5.64,CASF2013
18,3f17,8.11194,8.63,CASF2013
19,1bcu,4.773923,3.28,CASF2013
20,2qft,4.2558312,5.26,CASF2013
21,1w4o,4.5480423,5.22,CASF2013
22,2zx6,11.37621,10.6,CASF2013
23,3cft,6.8628526,4.19,CASF2013
24,3ueu,5.0931454,5.24,CASF2013
25,1f8b,6.67107,5.4,CASF2013
26,3n7a,4.3056607,3.7,CASF2013
27,2xb8,7.221676,7.59,CASF2013
28,3dxg,3.7893586,2.4,CASF2013
29,2x97,6.0924034,5.66,CASF2013
30,1qi0,2.8836672,2.35,CASF2013
31,2obf,7.146788,8.85,CASF2013
32,3fcq,3.7858384,2.77,CASF2013
33,2wca,7.349828,5.6,CASF2013
34,1o3f,7.194209,7.96,CASF2013
35,10gs,8.594648,6.4,CASF2013
36,3ao4,3.4133985,2.07,CASF2013
37,2ole,7.671861,7.25,CASF2013
38,3kgp,4.186904,2.57,CASF2013
39,3cj2,4.6699624,4.85,CASF2013
40,2zxd,9.924522,5.22,CASF2013
41,3u9q,4.6183524,4.38,CASF2013
42,2g70,4.8880477,7.77,CASF2013
43,1os0,7.927308,6.03,CASF2013
44,3mss,4.674119,4.66,CASF2013
45,1q8t,4.3779244,4.76,CASF2013
46,3coy,6.2183003,6.02,CASF2013
47,3gy4,4.481615,5.1,CASF2013
48,2pq9,8.089815,8.11,CASF2013
49,1z95,8.974974,7.12,CASF2013
50,2brb,5.6715293,4.86,CASF2013
51,3pxf,4.7332964,4.43,CASF2013
52,2vl4,5.1963906,6.01,CASF2013
53,1sln,7.4050965,6.64,CASF2013
54,1f8d,6.3803253,3.4,CASF2013
55,2vot,7.3408675,7.14,CASF2013
56,1gpk,7.0512695,5.37,CASF2013
57,1o5b,5.1655235,5.77,CASF2013
58,4djr,10.083007,11.52,CASF2013
59,2wtv,8.000795,8.74,CASF2013
60,3utu,8.454276,10.92,CASF2013
61,3muz,3.742324,3.46,CASF2013
62,3uex,4.853827,6.92,CASF2013
63,2d3u,6.8455906,6.92,CASF2013
64,2xnb,6.9647937,6.83,CASF2013
65,3g0w,9.875237,9.52,CASF2013
66,3su5,6.3377438,5.58,CASF2013
67,2vw5,6.6145725,8.52,CASF2013
68,3g2n,5.3791986,4.09,CASF2013
69,3b3s,5.9183874,2.55,CASF2013
70,3su2,7.9298005,7.35,CASF2013
71,2j78,5.989732,6.42,CASF2013
72,2xbv,8.754648,8.43,CASF2013
73,3imc,3.0972261,2.96,CASF2013
74,2yki,7.7257147,9.46,CASF2013
75,2p4y,7.1718774,9.0,CASF2013
76,2xy9,8.499367,9.19,CASF2013
77,4de1,6.0359664,5.96,CASF2013
78,3lka,5.8291173,2.82,CASF2013
79,4dew,6.4709167,7.0,CASF2013
80,3pww,7.388584,7.32,CASF2013
81,2xdl,5.092688,3.1,CASF2013
82,2hb1,4.6873255,3.8,CASF2013
83,3ge7,8.728152,8.7,CASF2013
84,2vo5,6.032531,4.89,CASF2013
85,3ehy,6.1620917,5.85,CASF2013
86,3kv2,7.0535703,7.32,CASF2013
87,1yc1,6.65629,6.17,CASF2013
88,2weg,6.8154044,6.5,CASF2013
89,3jvs,6.310279,6.54,CASF2013
90,3fv1,9.043037,9.3,CASF2013
91,3ozt,6.1909127,4.13,CASF2013
92,2cet,7.1798086,8.02,CASF2013
93,1q8u,6.50104,5.96,CASF2013
94,3ivg,6.4676037,4.3,CASF2013
95,1p1q,7.6140103,4.89,CASF2013
96,3l3n,8.320823,8.18,CASF2013
97,1h23,9.065743,8.35,CASF2013
98,2zcq,7.4927096,8.82,CASF2013
99,2yfe,6.0489535,6.63,CASF2013
100,2d1o,8.969941,7.7,CASF2013
101,2qmj,7.5706267,4.21,CASF2013
102,3l4u,6.6065917,7.52,CASF2013
103,1lor,10.313215,11.06,CASF2013
104,1hfs,9.565447,8.7,CASF2013
105,2jdu,7.178277,6.72,CASF2013
106,3vd4,3.892572,4.82,CASF2013
107,3nox,8.207767,8.66,CASF2013
108,3e93,8.341074,8.85,CASF2013
109,3myg,7.8373055,10.7,CASF2013
110,4des,6.770695,5.85,CASF2013
111,3f3c,6.005514,6.02,CASF2013
112,1hnn,6.204465,6.24,CASF2013
113,1n1m,5.806368,5.7,CASF2013
114,2jdy,6.803892,4.37,CASF2013
115,3mfv,4.665513,2.52,CASF2013
116,4g8m,6.052927,7.89,CASF2013
117,3f3e,5.771857,7.7,CASF2013
118,2yge,6.702712,5.06,CASF2013
119,1sqa,7.6884265,9.21,CASF2013
120,3su3,5.923835,9.13,CASF2013
121,2j62,9.010577,11.34,CASF2013
122,3pe2,7.9421887,9.76,CASF2013
123,2jdm,7.1114883,5.4,CASF2013
124,2qbr,6.0651217,6.33,CASF2013
125,2cbj,8.768505,8.27,CASF2013
126,1mq6,9.751008,11.15,CASF2013
127,1f8c,6.81077,7.4,CASF2013
128,3kwa,7.019273,4.08,CASF2013
129,1e66,8.666514,9.89,CASF2013
130,3f3a,5.527078,4.19,CASF2013
131,3nq3,5.38176,3.78,CASF2013
132,2pcp,8.714388,8.7,CASF2013
133,2ymd,6.088263,3.16,CASF2013
134,2zwz,9.57169,7.79,CASF2013
135,1u1b,5.9565144,7.8,CASF2013
136,2zjw,6.7835183,7.7,CASF2013
137,3uo4,6.9884815,6.52,CASF2013
138,2qbp,6.8192186,8.4,CASF2013
139,3oe5,6.338363,6.88,CASF2013
140,2x0y,6.7046614,4.6,CASF2013
141,2y5h,7.53613,5.79,CASF2013
142,3gcs,7.9997997,7.25,CASF2013
143,2vvn,6.640854,7.3,CASF2013
144,1ps3,6.722446,2.28,CASF2013
145,2iwx,5.8553157,6.68,CASF2013
146,2gss,5.7657604,4.94,CASF2013
147,1r5y,6.288158,6.46,CASF2013
148,3udh,4.3438277,2.85,CASF2013
149,3zso,4.8800106,5.12,CASF2013
150,3cyx,8.776529,8.0,CASF2013
151,4djv,6.578332,6.72,CASF2013
152,3ejr,7.336672,8.57,CASF2013
153,3i3b,3.6952064,2.23,CASF2013
154,1oyt,7.275936,7.24,CASF2013
155,3gnw,8.341321,9.1,CASF2013
156,3bkk,8.68819,6.08,CASF2013
157,2xhm,8.259514,6.8,CASF2013
158,1vso,4.731304,4.72,CASF2013
159,1lbk,6.3003364,3.18,CASF2013
160,3zsx,4.3456035,3.28,CASF2013
161,1nvq,8.611411,8.25,CASF2013
162,3l4w,6.3122807,6.0,CASF2013
163,4de2,6.2172956,4.12,CASF2013
164,4gid,9.299662,10.77,CASF2013
165,2fvd,7.0322685,8.52,CASF2013
166,3k5v,6.554771,6.3,CASF2013
167,3ebp,6.3241906,5.91,CASF2013
168,3gbb,6.0757265,6.9,CASF2013
169,3fk1,4.4801793,2.62,CASF2013
170,3ag9,7.4959483,8.05,CASF2013
171,2w66,5.8048677,4.05,CASF2013
172,3f80,4.0841875,4.22,CASF2013
173,4gqq,2.6147099,2.89,CASF2013
174,2x8z,6.326159,7.96,CASF2013
175,3huc,6.595341,5.99,CASF2013
176,3g2z,3.5543232,2.36,CASF2013
177,3bfu,6.3061175,6.27,CASF2013
178,3owj,6.469245,6.07,CASF2013
179,3nw9,8.846766,9.0,CASF2013
180,3b68,9.564005,8.4,CASF2013
181,2v00,4.2140875,3.66,CASF2013
